Year, Ports
2011,3
2012,13
2013,25
2014,50
2015,126
2016,251
2017,503
2018,1006
2019,1433
2020,1887
2021,2345
2022,2804
2023,3289
2024,3693
2025,4098
2026,4421
2027,4718
2028,5041
2029,5392
2030,5742
2031,6266
2032,6655
2033,7044
2034,7433
2035,7822
2036,8211
2037,8600
2038,8989
2039,9378
2040,9767
