Load Profile, Charger Assignment
FastPublic_Alameda_Residential L1_uncontrolled_load,Residential L1
FastPublic_Alameda_Residential L2_uncontrolled_load,Residential L2
FastPublic_Alameda_Residential MUD_uncontrolled_load,Residential L2
FastPublic_Alameda_Public L2_uncontrolled_load,Public L2
FastPublic_Alameda_Work_uncontrolled_load,Workplace L2
FastPublic_Alameda_Fast_uncontrolled_load,DCFC
