Load Profile, Charger Assignment
BaseCase_Napa_Residential L1_uncontrolled_load,Residential L1
BaseCase_Napa_Residential L2_uncontrolled_load,Residential L2
BaseCase_Napa_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Napa_Public L2_uncontrolled_load,Public L2
BaseCase_Napa_Work_uncontrolled_load,Workplace L2
BaseCase_Napa_Fast_uncontrolled_load,DCFC
