year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,772266,38875.30309878911,0,12000,12000,0,5377.16,5377.16,31.0
2020,782464,44104.36721194315,0,12000,12000,0,3840.32,3840.32,32.1
2021,793840,53260.49376955452,0,12000,12000,0,2741.24,2741.24,33.4
2022,807580,62416.62032716589,0,12000,12000,0,1642.17,1642.17,34.7
2023,818960,71572.74688477725,0,12000,12000,0,821.08,821.08,36.6
2024,831515,80728.87344238862,0,12000,12000,0,0.0,0.0,37.5
2025,843678,89885.0,0,12000,12000,0,0.0,0.0,39.6
2026,854272,143816.0,0,12400,12400,0,0.0,0.0,39.6
2027,866827,197747.0,0,12800,12800,0,0.0,0.0,39.5
2028,878598,251678.0,0,13200,13200,0,0.0,0.0,39.4
2029,890374,305609.0,0,13600,13600,0,0.0,0.0,39.3
2030,899002,359540.0,0,14000,14000,0,0.0,0.0,39.2
