Year, Ports
2011,2
2012,11
2013,23
2014,45
2015,113
2016,227
2017,453
2018,907
2019,1292
2020,1702
2021,2115
2022,2529
2023,2966
2024,3331
2025,3696
2026,3987
2027,4255
2028,4546
2029,4863
2030,5179
2031,5651
2032,6002
2033,6353
2034,6703
2035,7054
2036,7405
2037,7756
2038,8106
2039,8457
2040,8808
