year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,189,1261050,0,0,0,148,0,0,41,0,0,0,0
2012,496,1253140,0,0,0,234,30,12,220,0,0,0,0
2013,1117,1255858,0,0,0,584,43,81,409,0,0,0,0
2014,1940,1265259,0,0,0,977,80,285,598,0,0,0,0
2015,2743,1272616,11154.89841,0,0,1452,141,422,728,9376.568348,3095.549482,4879.449885,7034.766381
2016,3917,1280743,11154.89841,0,0,2125,225,699,868,9377.9168,3099.575,4884.8688,7039.096
2017,5341,1288532,11154.89841,0,25.2,2806,368,1086,1081,9378.4991,3101.1087,4886.9631,7040.752
2018,6878,1293819,11154.89841,10223.29,25.84,3743,465.89,1347.94,1321.17,9379.0814,3102.6424,4889.0574,7042.408
2019,9416,1297617,11154.89841,8183.72,26.79,5050,685.78,1878.75,1801.47,9379.6637,3104.1761,4891.1517,7044.064
2020,12492,1301307,11154.89841,6295.07,27.73,6690,951.81,2492.17,2358.03,9380.246,3105.7098,4893.246,7045.72
2021,16415,1306851,11154.89841,4557.35,28.86,8852,1281.56,3237.1,3044.34,9380.8283,3107.2435,4895.3403,7047.376
2022,21735,1314513,11154.89841,2970.56,30,11885,1704.43,4195.38,3950.19,9381.4106,3108.7772,4897.4346,7049.032
2023,28341,1324453,11154.89841,1534.68,31.59,15768,2193.26,5326.17,5053.58,9381.9929,3110.3109,4899.5289,7050.688
2024,36664,1335885,11154.89841,249.73,32.43,20812,2718.13,6693.15,6440.72,9382.5752,3111.8446,4901.6232,7052.344
2025,46604,1348383,11154.89841,0,34.19,27104,3194.78,8225.8,8079.42,9384.263481,3115.468788,4906.650737,7056.893618
2026,57689,1361800,11154.89841,0,34.18,34172,3629.55,9892.38,9995.07,9383.7398,3114.912,4905.8118,7055.656
2027,69717,1375770,11154.89841,0,34.14,41857,4025.94,11643.04,12191.03,9384.3221,3116.4457,4907.9061,7057.312
2028,82872,1389809,11154.89841,0,34.06,50290,4392.58,13467.02,14722.4,9384.9044,3117.9794,4910.0004,7058.968
2029,97227,1404175,11154.89841,0,33.98,59518,4733.01,15338.93,17637.06,9385.4867,3119.5131,4912.0947,7060.624
2030,113071,1418359,11154.89841,0,33.89,69734,5052.44,17249.24,21035.32,9386.069,3121.0468,4914.189,7062.28
2031,130408,1433069,11154.89841,0,33.82,80923,5350.75,19179.53,24954.72,9386.6513,3122.5805,4916.2833,7063.936
2032,149137,1447893,11154.89841,0,33.73,93006,5625.8,21098.12,29407.08,9387.2336,3124.1142,4918.3776,7065.592
2033,169382,1462582,11154.89841,0,33.66,106033,5878.66,22996.21,34474.13,9387.8159,3125.6479,4920.4719,7067.248
2034,191230,1477156,11154.89841,0,33.59,120059,6108.62,24847.02,40215.36,9388.3982,3127.1816,4922.5662,7068.904
2035,214646,1491819,11154.89841,0,33.52,135015,6314.61,26618.57,46697.82,9389.437669,3131.483352,4928.910472,7073.544593
