Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,1071603.9691949773,1293923.6676578282,1516386.7672663599,1742276.3603350439,1965841.3718539765,2183949.1403320306,3202947.998076758,4221797.807268692,5249529.559929607,6284814.962029518,8070281.385530838,7928395.5527348695,7709867.927344453,7491709.303595707,7287976.290376449,7083434.691211994,6823333.9689157605,5822693.712234544,4824183.921584053,3835023.6408707453
Utility Bills (res),913670.789301832,1103318.1704784138,1293014.2527590187,1482122.6192999987,1671664.2303913129,1862080.5739918912,2731015.969834679,3599892.597433541,4467417.759529297,5333933.444328923,6930179.889163381,6821830.791338314,6632681.153248052,6443813.622301027,6253952.122023197,6064491.085457748,5863663.683074513,4998287.979001028,4132843.971494452,3275144.3865217883
Utility Bills (work),85363.07735059698,103012.79214992624,120704.73500411125,142173.41524319196,161045.80246578576,173945.9719707433,255049.93857578514,336108.8377078754,426668.6341583733,525305.005289726,616022.913278752,589615.7131016996,571813.2052836488,553788.3843664696,550889.1530717938,546943.7732169876,502944.7193438585,419554.2156958725,338305.44697707,257141.32341390903
Utility Bills (pub L2),25469.975991920157,30742.186310044373,36032.41444674116,41332.37327194311,46627.33206773369,51915.57941490472,76118.23149575252,100305.21737756193,124557.38794464953,148825.3689803325,206195.63665721615,202703.01014219818,197343.73007303162,192076.70140506662,187361.0444748561,182609.29977937514,176366.64579809457,152137.27436472342,127996.72096369402,105246.30563640258
Utility Bills (DCFC),47100.126550628105,56850.51871944379,66635.36505648876,76647.95251991,86504.00692914416,96007.01495449149,140763.85817054147,185491.15474971372,230885.7782972874,276751.14343053655,317882.94643148826,314246.03815265716,308029.8387397195,302030.5955231434,295773.97080660216,289390.5327578832,280358.92069929454,252714.24317291938,225037.78214883673,197491.6252986453
Incremental upfront vehicle cost,517419.4060241883,646710.8982015435,387419.2831345044,193708.46197170747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,573944.3626927505,1005900.3279411778,1006822.9623846416,1007748.3647314357,1008676.5432852712,1009607.5063747664,4629523.2346402705,4633813.819988635,4638117.277093045,4642433.644568769,4827201.368756248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),296413.5002430043,519446.6940728133,519872.62243210064,520299.8285764659,520728.3163392648,521158.0895653511,2389520.5357680493,2391501.257375353,2393487.921147479,2395480.5449109217,2480777.3969523315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),119264.01777454221,208952.68101718856,209073.62363772714,209194.92908612697,209316.59845087252,209438.6328237116,960047.5595390757,960609.9866621374,961174.1010665679,961739.9078142126,985960.0016037482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),71558.41066472525,125371.60861031323,125444.17418263628,125516.9574516763,125589.95907052341,125663.17969422707,576028.5357234454,576365.9919972824,576704.4606399409,577043.9446885274,591576.0009622487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),86708.43401047881,152129.34424086267,152432.54213217748,152736.64961716655,153041.66942461042,153347.60429147663,703926.6036097001,705336.5839538624,706750.7942390576,708169.2471551073,768887.9692379192,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),1231989.876752361,1569523.1919710755,1868101.3425686755,2152640.3198478473,2685897.5915001165,2943978.798556995,4177258.8745819866,5475189.136438898,6867867.237843397,8423473.758059816,8503414.491228314,8269609.331501691,7999616.01687321,7722648.819288434,7470604.25097633,7231113.438885605,5914611.701511868,4610713.327404197,3192138.691179334,1727793.9173647973
Avoided vehicle gasoline (gallons),424824.0954318486,509585.4519386609,591171.3109394542,668521.8384620644,744015.953324132,815506.5923980596,1153938.915630383,1504172.8396810158,1866268.271153097,2240285.573952079,2249580.5532350037,2164819.1967281913,2083233.3377273984,2005882.810204788,1930388.6953427207,1858898.056268793,1520465.73303647,1170231.8089858368,808136.3775137555,434119.0747147732
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,34087.552527945496,95838.1390067645,160289.25291522802,227529.83017638465,297651.41283862124,370748.22070019087,690485.8717922738,1024112.5373935896,1372084.5811194158,1734871.7243010798,2427989.3614983694,2405574.701726295,2380998.6500732847,2354176.9539919063,2325022.699936311,2293446.237056539,1956572.8978597862,1603767.1037596406,1234490.8734365248,848190.2657009719
Federal EV Tax Credit,1010500.5690102419,1731304.615537874,1694035.8273364718,1657569.302677565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,134.7334092013656,235.91910894396096,235.91910894396096,235.91910894396096,235.9191089439612,235.91910894396096,1080.8000000000002,1080.8000000000002,1080.8000000000002,1080.8000000000002,1215.533409201365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,21067.104787972366,29336.67334870268,32977.060726079144,36783.45922625912,40761.789119488654,55872.75297082081,133978.32415271617,183087.54080581802,218965.20082284653,256529.77066536606,331921.8894292721,276766.57782367367,275730.51254810166,274475.72270370304,272992.05620131036,271268.9936295507,269295.63605247834,235310.91264981046,199489.09542519966,161760.25832160603
Distribution Cost,14350.435205796395,21035.815248850973,23021.55185388682,25100.407159316368,27275.7960602993,40505.83847194304,110912.79037237076,151971.50666075316,179434.53270623257,208207.7015815157,266789.3208099035,211136.96730871306,210405.64078905538,209505.78759442133,208429.43810093228,207168.32989054546,205713.89803939633,179706.74968526518,152270.67282857126,123350.4753635199
Transmission Cost,6716.66958217597,8300.858099851708,9955.50887219232,11683.052066942753,13485.993059189355,15366.914498877772,23065.53378034541,31116.034145064845,39530.66811661397,48322.06908385036,65132.56861936861,65629.61051496059,65324.87175904629,64969.935109281716,64562.618100378066,64100.663739005235,63581.738013081995,55604.162964545285,47218.42259662841,38409.782958086114
