year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,68036,993.8860379486831,0,12000,12000,0,5377.16,5377.16,31.0
2020,68935,1127.5722963013334,0,12000,12000,0,3840.32,3840.32,32.1
2021,69937,1361.6578370410666,0,12000,12000,0,2741.24,2741.24,33.4
2022,71147,1595.7433777807998,0,12000,12000,0,1642.17,1642.17,34.7
2023,72150,1829.828918520533,0,12000,12000,0,821.08,821.08,36.6
2024,73256,2063.9144592602665,0,12000,12000,0,0.0,0.0,37.5
2025,74328,2298.0,0,12000,12000,0,0.0,0.0,39.6
2026,75261,3370.8,0,12400,12400,0,0.0,0.0,39.6
2027,76367,4443.6,0,12800,12800,0,0.0,0.0,39.5
2028,77404,5516.400000000001,0,13200,13200,0,0.0,0.0,39.4
2029,78441,6589.200000000001,0,13600,13600,0,0.0,0.0,39.3
2030,79201,7662.0,0,14000,14000,0,0.0,0.0,39.2
