Year, Ports
2011,0
2012,0
2013,0
2014,1
2015,2
2016,4
2017,7
2018,14
2019,21
2020,27
2021,34
2022,40
2023,47
2024,53
2025,59
2026,63
2027,68
2028,72
2029,77
2030,82
2031,90
2032,95
2033,101
2034,107
2035,112
2036,118
2037,123
2038,129
2039,134
2040,140
