Year, Ports
2011,0
2012,1
2013,2
2014,4
2015,10
2016,20
2017,39
2018,79
2019,112
2020,148
2021,184
2022,220
2023,258
2024,290
2025,322
2026,347
2027,370
2028,396
2029,423
2030,451
2031,492
2032,522
2033,553
2034,583
2035,614
2036,644
2037,675
2038,705
2039,736
2040,767
