Year, Ports
2011,0
2012,2
2013,5
2014,9
2015,23
2016,46
2017,92
2018,184
2019,262
2020,345
2021,429
2022,513
2023,601
2024,675
2025,749
2026,808
2027,863
2028,922
2029,986
2030,1050
2031,1146
2032,1217
2033,1288
2034,1359
2035,1430
2036,1501
2037,1573
2038,1644
2039,1715
2040,1786
