Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
CO2 emissions from EVs (metric tons),19227.709224517166,23491.447121433157,27298.826747734893,31812.087702299094,37279.348059020675,42531.817159826016,62643.84948597774,83508.20743494136,103569.62367992029,123814.07070776336,161520.29232083217,158980.02367791918,154531.99613770653,150083.96859749497,145635.9410572822,141187.9135170704,136739.88597685815,116361.90331704584,95983.9206572342,75605.93799742148
NOX emissions from EVs (metric tons),2.6897031250407792,3.4013307780592035,3.9675621646147996,4.740813964029109,5.661959569448279,6.571105750478398,9.72962509293727,13.017555367380513,16.280100168091174,19.78353812354418,26.157958415375266,25.74665313108716,25.026454802043393,24.306256472999454,23.586058143955416,22.865859814911733,22.145661485867755,18.846178978576017,15.546696471284202,12.247213963992357
PM 10 emissions from EVs (metric tons),1.3365773079856589,1.6184613670341907,1.8788903006634405,2.174755657876005,2.5351182892318955,2.8782780796844665,4.2328795260741945,5.636734491417016,6.97382972975235,8.2965440433954,10.779157838097847,10.609620436024592,10.31275930063974,10.015898165254919,9.719037029870032,9.42217589448518,9.125314759100375,7.765289216417679,6.40526367373495,5.045238131052206
SO2 emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOC emissions from EVs (metric tons),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
