Load Profile, Charger Assignment
BaseCase_Sacramento_Residential L1_uncontrolled_load,Residential L1
BaseCase_Sacramento_Residential L2_uncontrolled_load,Residential L2
BaseCase_Sacramento_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Sacramento_Public L2_uncontrolled_load,Public L2
BaseCase_Sacramento_Work_uncontrolled_load,Workplace L2
BaseCase_Sacramento_Fast_uncontrolled_load,DCFC
