Year, gas_price
2020,2.9
2021,3.08
2022,3.16
2023,3.22
2024,3.61
2025,3.61
2026,3.62
2027,3.64
2028,3.68
2029,3.76
2030,3.78
2031,3.82
2032,3.84
2033,3.85
2034,3.87
2035,3.89
2036,3.89
2037,3.94
2038,3.95
2039,3.98
2040,4.01
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,0.0
2050,0.0
