Load Profile, Charger Assignment
BaseCase_Marin_Residential L1_uncontrolled_load,Residential L1
BaseCase_Marin_Residential L2_uncontrolled_load,Residential L2
BaseCase_Marin_Residential MUD_uncontrolled_load,Residential L2
BaseCase_Marin_Public L2_uncontrolled_load,Public L2
BaseCase_Marin_Work_uncontrolled_load,Workplace L2
BaseCase_Marin_Fast_uncontrolled_load,DCFC
