Year, Ports
2011,2
2012,10
2013,19
2014,39
2015,97
2016,195
2017,389
2018,778
2019,1109
2020,1460
2021,1815
2022,2170
2023,2545
2024,2858
2025,3171
2026,3422
2027,3651
2028,3901
2029,4173
2030,4444
2031,4850
2032,5151
2033,5451
2034,5752
2035,6053
2036,6354
2037,6655
2038,6956
2039,7257
2040,7558
