year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,201661,6469.774256603286,0,12000,12000,0,5377.16,5377.16,31.0
2020,204323,7340.014786932831,0,12000,12000,0,3840.32,3840.32,32.1
2021,207294,8863.811829546265,0,12000,12000,0,2741.24,2741.24,33.4
2022,210882,10387.608872159699,0,12000,12000,0,1642.17,1642.17,34.7
2023,213854,11911.405914773133,0,12000,12000,0,821.08,821.08,36.6
2024,217132,13435.202957386568,0,12000,12000,0,0.0,0.0,37.5
2025,220308,14959.0,0,12000,12000,0,0.0,0.0,39.6
2026,223075,21939.8,0,12400,12400,0,0.0,0.0,39.6
2027,226353,28920.6,0,12800,12800,0,0.0,0.0,39.5
2028,229427,35901.4,0,13200,13200,0,0.0,0.0,39.4
2029,232502,42882.200000000004,0,13600,13600,0,0.0,0.0,39.3
2030,234755,49863.0,0,14000,14000,0,0.0,0.0,39.2
