Year, Ports
2011,1
2012,3
2013,7
2014,13
2015,33
2016,66
2017,131
2018,263
2019,374
2020,493
2021,612
2022,732
2023,859
2024,964
2025,1070
2026,1155
2027,1232
2028,1316
2029,1408
2030,1500
2031,1636
2032,1738
2033,1839
2034,1941
2035,2043
2036,2144
2037,2246
2038,2347
2039,2449
2040,2550
