Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,99139552.83869939,119720666.22319978,140301641.12357002,160652940.13024777,181103942.07307708,201983524.53917363,296335065.62488836,390623711.4393822,484305830.78586197,577468006.308645,743539703.7939806,732657461.7861284,712311464.7885742,691734088.7171296,670225253.685354,648692770.5694125,627840649.9487815,533977644.73981845,439844477.70240486,345760575.6582068
Utility Bills (res),75653227.77605368,91359202.63241772,107065269.92567211,122550981.42010938,138143495.827738,154128448.97956112,226134185.1960787,298086136.10523033,369461760.7681918,440373973.0050612,569451338.2279478,561290736.3261697,545775964.3428392,530073561.7187101,513465871.6685225,496879469.74637586,480880774.8853268,409201794.7560377,337281564.3006929,265412583.4734453
Utility Bills (work),12163146.359215911,14687503.63496509,17211603.890613634,19744911.291510906,22267118.280215744,24790398.315723225,36354812.33807019,47922279.10737854,59510722.58471906,71070563.74147058,89449490.94035977,87999057.17077467,85476021.55711235,82951130.8756432,80470373.75432493,77938509.99180843,75384302.84511222,63843966.62638132,52315696.33454857,40785342.506065905
Utility Bills (pub L2),6651515.735480876,8032368.705937465,9413217.889155822,10789852.052479444,12168712.745890083,13555262.212114405,19881884.91333356,26207953.685399916,32523107.809875865,38827889.125198364,50199493.675932586,49427173.52986225,48048254.46701137,46667154.6477913,45268846.34710344,43868961.76044067,42495246.54316305,36257614.01073617,30016107.08446756,23774512.78216019
Utility Bills (DCFC),4671662.967948919,5641591.249879499,6611549.418128455,7567195.366148061,8524615.219233278,9509415.031774888,13964183.177405931,18407342.541373413,22810239.623075265,27195580.436914828,34439380.949740395,33940494.75932177,33011224.421611317,32042241.474984955,31020161.915403195,30005829.070787538,29080325.67517946,24674269.346663278,20231109.982695792,15788136.896535449
Incremental upfront vehicle cost,76047471.44852822,95050027.10341887,56940765.13126227,28470209.195136208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,123015974.37847519,215583463.0694088,215765669.64561895,215948422.8415578,216131724.2970844,216315575.6569773,991839802.6785666,992687132.2971123,993537003.9045134,994389425.1267369,1030878304.666531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),43565233.41460141,76345431.14660071,76408031.76490939,76470820.18507299,76533796.9704971,76596962.68627736,351199824.96213543,351490941.5570218,351782931.50169283,352075797.4161979,364612262.71889615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),29689639.765095536,52016777.089288116,52046884.601201855,52077082.435651414,52107370.86360428,52137750.156840906,238995486.07620192,239135497.41451854,239275928.78685006,239416781.4532983,245446143.28158647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),34037361.0643853,59634062.15777802,59668578.583772615,59703198.55904532,59737922.39424368,59772750.40094771,273993747.20260376,274154261.6619605,274315257.66469496,274476736.6554382,281389032.22928053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),15723740.134392953,27587192.675741967,27642174.695735056,27697321.661788084,27752634.06873933,27808112.41291133,127650744.43762548,127906431.66361155,128162885.95127563,128420109.60180247,139430866.43676797,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),181071126.99368152,230679925.68420136,274563307.5565541,316383288.598432,394758522.8253451,432689885.65509987,613951243.6262757,804714559.8322254,1009403433.4605485,1238038698.3618643,1249788683.7123833,1215425317.1509166,1175743195.839561,1135036082.4574983,1097991969.6111128,1062792939.122873,869300071.9107519,677659583.060638,469164549.4135838,253942448.47242117
Avoided vehicle gasoline (gallons),62438319.65299363,74896079.76759784,86887122.64447914,98255679.68895403,109351391.36436152,119858694.08728528,169599791.05698222,221075428.52533665,274294411.2664534,329265611.2664533,330631926.9080379,318174166.79343367,306183123.91655236,294814566.87207747,283718855.19667,273211552.47374624,223470455.50404933,171994818.03569493,118775835.29457818,63804635.29457819
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,5010001.842679162,14085764.961541273,23558436.81674146,33441088.72332907,43747175.03038723,54490543.648013845,101483986.80905713,150518768.04606068,201661961.4078768,254982604.19387856,356853421.89982885,353559056.37686557,349947021.7146924,346004934.9440972,341720021.997086,337079106.49189335,287567136.90360886,235713494.36589777,181439109.06226608,124662565.47400147
Federal EV Tax Credit,148517841.18614116,254457673.57374087,248980111.12890497,243620460.98718685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,19802.37882481882,34674.09898564842,34674.09898564842,34674.09898564842,34674.09898564842,34674.098985648365,158850.59999999998,158850.59999999998,158850.59999999998,158850.59999999998,178652.9788248189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,5509372.690431119,7404039.562695675,8475639.808235565,9594256.393050773,10761498.537862295,20567737.8423609,49406111.48588244,79227781.13442159,98135743.64217266,117886841.62306225,151548778.13217095,142095280.94225073,141270635.03012255,140330418.51711583,139269693.52032584,138083354.74568498,136766124.43432868,118694746.17307918,99706992.7282321,79769971.75505814
Distribution Cost,3352911.5983487205,4739217.63148107,5279938.144140661,5844382.705672667,6433363.324760491,15636429.885627296,42004999.345072106,69244449.09839235,85453878.24132173,102386111.05553463,131459788.92852908,121867613.06784168,121161873.78179634,120357086.33658096,119449018.24707939,118433293.51491791,117305388.31062561,101814508.36743826,85538069.50512886,68447874.48453334
Transmission Cost,2156461.0920823985,2664821.9312146045,3195701.664094905,3749873.6873781052,4328135.213101804,4931307.956733605,7401112.140810336,9983332.036029235,12681865.400850939,15500730.56752763,20088989.203641865,20227667.874409065,20108761.2483262,19973332.18053486,19820675.27324645,19650061.230767064,19460736.123703048,16880237.805640925,14168923.22310324,11322097.270524792
Cumulative personal light-duty EV population,167022.50507175794,201696.60405740637,236370.7030430548,271044.8020287032,305718.90101435164,340393.0,499243.6,658094.2,816944.7999999999,975795.3999999999,1134646.0,1099971.9010143515,1065297.802028703,1030623.7030430546,995949.6040574061,961275.5050717577,802424.9050717577,643574.3050717578,484723.7050717578,325873.1050717578
Cumulative personal light-duty LDV population,7951731.0,8067344.0,8206972.0,8322621.0,8450210.0,8573820.0,8681474.0,8809068.0,8928687.0,9048358.0,9136039.0,9020426.0,8880798.0,8765149.0,8637560.0,8513950.0,8406296.0,8278702.0,8159083.0,8039412.0
