year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,21782,309.2378229474797,0,12000,12000,0,5377.16,5377.16,31.0
2020,22069,350.83298166033654,0,12000,12000,0,3840.32,3840.32,32.1
2021,22390,423.66638532826926,0,12000,12000,0,2741.24,2741.24,33.4
2022,22778,496.4997889962019,0,12000,12000,0,1642.17,1642.17,34.7
2023,23099,569.3331926641346,0,12000,12000,0,821.08,821.08,36.6
2024,23453,642.1665963320672,0,12000,12000,0,0.0,0.0,37.5
2025,23796,715.0,0,12000,12000,0,0.0,0.0,39.6
2026,24095,1048.6,0,12400,12400,0,0.0,0.0,39.6
2027,24449,1382.1999999999998,0,12800,12800,0,0.0,0.0,39.5
2028,24781,1715.7999999999997,0,13200,13200,0,0.0,0.0,39.4
2029,25113,2049.3999999999996,0,13600,13600,0,0.0,0.0,39.3
2030,25356,2383.0,0,14000,14000,0,0.0,0.0,39.2
