year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,696440,11193.544189795417,0,12000,12000,0,5377.16,5377.16,31.0
2020,705637,12699.172585106533,0,12000,12000,0,3840.32,3840.32,32.1
2021,715896,15335.538068085227,0,12000,12000,0,2741.24,2741.24,33.4
2022,728287,17971.90355106392,0,12000,12000,0,1642.17,1642.17,34.7
2023,738550,20608.269034042612,0,12000,12000,0,821.08,821.08,36.6
2024,749872,23244.634517021306,0,12000,12000,0,0.0,0.0,37.5
2025,760841,25881.0,0,12000,12000,0,0.0,0.0,39.6
2026,770394,37959.2,0,12400,12400,0,0.0,0.0,39.6
2027,781717,50037.399999999994,0,12800,12800,0,0.0,0.0,39.5
2028,792332,62115.59999999999,0,13200,13200,0,0.0,0.0,39.4
2029,802952,74193.79999999999,0,13600,13600,0,0.0,0.0,39.3
2030,810732,86272.0,0,14000,14000,0,0.0,0.0,39.2
