Year, Ports
2011,0
2012,1
2013,1
2014,3
2015,7
2016,14
2017,28
2018,55
2019,79
2020,104
2021,129
2022,154
2023,180
2024,203
2025,225
2026,242
2027,259
2028,277
2029,296
2030,315
2031,344
2032,365
2033,386
2034,408
2035,429
2036,450
2037,472
2038,493
2039,514
2040,536
