Year, Ports
2011,5
2012,24
2013,49
2014,98
2015,245
2016,490
2017,980
2018,1959
2019,2792
2020,3677
2021,4570
2022,5463
2023,6409
2024,7197
2025,7985
2026,8615
2027,9193
2028,9823
2029,10506
2030,11189
2031,12210
2032,12968
2033,13726
2034,14484
2035,15242
2036,15999
2037,16757
2038,17515
2039,18273
2040,19031
