Load Profile,PGE Residential EV Rate,PGE Medium Commercial Rate,PGE Large Commercial Rate,SCE Residential EV Rate,SCE Medium Commercial Rate,SCE Large Commercial Rate,SCE Commercial EV Rate,SDGE Residential EV Rate,SDGE Commercial Rate
BaseCase_Santa Barbara_Residential L1_uncontrolled_load,0,0,0,1,0,0,0,0,0
BaseCase_Santa Barbara_Residential L2_uncontrolled_load,0,0,0,1,0,0,0,0,0
BaseCase_Santa Barbara_Residential MUD_uncontrolled_load,0,0,0,0,1,0,0,0,0
BaseCase_Santa Barbara_Public L2_uncontrolled_load,0,0,0,0,1,0,0,0,0
BaseCase_Santa Barbara_Work_uncontrolled_load,0,0,0,0,1,0,0,0,0
BaseCase_Santa Barbara_Fast_uncontrolled_load,0,0,0,0,0,0,1,0,0
