Year, Ports
2011,0
2012,2
2013,3
2014,7
2015,17
2016,34
2017,69
2018,138
2019,197
2020,259
2021,322
2022,385
2023,451
2024,507
2025,562
2026,606
2027,647
2028,691
2029,739
2030,788
2031,859
2032,913
2033,966
2034,1019
2035,1073
2036,1126
2037,1179
2038,1233
2039,1286
2040,1339
