Year, Ports
2011,0
2012,2
2013,4
2014,7
2015,18
2016,35
2017,70
2018,141
2019,201
2020,265
2021,329
2022,393
2023,461
2024,518
2025,575
2026,620
2027,661
2028,707
2029,756
2030,805
2031,879
2032,933
2033,988
2034,1042
2035,1097
2036,1151
2037,1206
2038,1260
2039,1315
2040,1369
