Year, Ports
2011,0
2012,0
2013,0
2014,1
2015,2
2016,3
2017,6
2018,13
2019,18
2020,24
2021,30
2022,35
2023,41
2024,47
2025,52
2026,56
2027,59
2028,64
2029,68
2030,72
2031,79
2032,84
2033,89
2034,94
2035,99
2036,104
2037,108
2038,113
2039,118
2040,123
