year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,9735,121.9651273722927,0,12000,12000,0,5377.16,5377.16,31.0
2020,9863,138.37049066883205,0,12000,12000,0,3840.32,3840.32,32.1
2021,10007,167.09639253506563,0,12000,12000,0,2741.24,2741.24,33.4
2022,10180,195.82229440129922,0,12000,12000,0,1642.17,1642.17,34.7
2023,10323,224.5481962675328,0,12000,12000,0,821.08,821.08,36.6
2024,10482,253.2740981337664,0,12000,12000,0,0.0,0.0,37.5
2025,10635,282.0,0,12000,12000,0,0.0,0.0,39.6
2026,10769,413.6,0,12400,12400,0,0.0,0.0,39.6
2027,10927,545.2,0,12800,12800,0,0.0,0.0,39.5
2028,11075,676.8000000000001,0,13200,13200,0,0.0,0.0,39.4
2029,11224,808.4000000000001,0,13600,13600,0,0.0,0.0,39.3
2030,11332,940.0,0,14000,14000,0,0.0,0.0,39.2
