Year, Ports
2011,0
2012,0
2013,1
2014,1
2015,4
2016,7
2017,14
2018,28
2019,40
2020,53
2021,66
2022,79
2023,93
2024,104
2025,116
2026,125
2027,133
2028,142
2029,152
2030,162
2031,177
2032,188
2033,199
2034,210
2035,221
2036,232
2037,243
2038,254
2039,265
2040,275
