Year, Ports
2011,0
2012,0
2013,0
2014,0
2015,0
2016,1
2017,2
2018,3
2019,4
2020,6
2021,7
2022,8
2023,10
2024,11
2025,12
2026,13
2027,14
2028,15
2029,16
2030,17
2031,19
2032,20
2033,21
2034,22
2035,23
2036,25
2037,26
2038,27
2039,28
2040,29
