year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,2320,36.762538392357726,0,12000,12000,0,5377.16,5377.16,31.0
2020,2350,41.70741740017987,0,12000,12000,0,3840.32,3840.32,32.1
2021,2385,50.365933920143895,0,12000,12000,0,2741.24,2741.24,33.4
2022,2426,59.02445044010792,0,12000,12000,0,1642.17,1642.17,34.7
2023,2460,67.68296696007195,0,12000,12000,0,821.08,821.08,36.6
2024,2498,76.34148348003598,0,12000,12000,0,0.0,0.0,37.5
2025,2534,85.0,0,12000,12000,0,0.0,0.0,39.6
2026,2566,125.0,0,12400,12400,0,0.0,0.0,39.6
2027,2604,165.0,0,12800,12800,0,0.0,0.0,39.5
2028,2639,205.0,0,13200,13200,0,0.0,0.0,39.4
2029,2675,245.0,0,13600,13600,0,0.0,0.0,39.3
2030,2700,285.0,0,14000,14000,0,0.0,0.0,39.2
