Year, Ports
2011,26
2012,128
2013,255
2014,511
2015,1277
2016,2555
2017,5109
2018,10219
2019,14562
2020,19178
2021,23836
2022,28494
2023,33425
2024,37535
2025,41644
2026,44932
2027,47946
2028,51234
2029,54795
2030,58357
2031,63683
2032,67635
2033,71588
2034,75541
2035,79493
2036,83445
2037,87398
2038,91351
2039,95303
2040,99256
