year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,105909,1511.15657815174,0,12000,12000,0,5377.16,5377.16,31.0
2020,107308,1714.4201928968055,0,12000,12000,0,3840.32,3840.32,32.1
2021,108868,2070.336154317444,0,12000,12000,0,2741.24,2741.24,33.4
2022,110752,2426.252115738083,0,12000,12000,0,1642.17,1642.17,34.7
2023,112313,2782.1680771587216,0,12000,12000,0,821.08,821.08,36.6
2024,114035,3138.0840385793604,0,12000,12000,0,0.0,0.0,37.5
2025,115703,3494.0,0,12000,12000,0,0.0,0.0,39.6
2026,117156,5124.6,0,12400,12400,0,0.0,0.0,39.6
2027,118878,6755.200000000001,0,12800,12800,0,0.0,0.0,39.5
2028,120492,8385.800000000001,0,13200,13200,0,0.0,0.0,39.4
2029,122107,10016.400000000001,0,13600,13600,0,0.0,0.0,39.3
2030,123290,11647.0,0,14000,14000,0,0.0,0.0,39.2
