Year, Ports
2011,0
2012,1
2013,2
2014,3
2015,8
2016,16
2017,32
2018,65
2019,92
2020,121
2021,151
2022,180
2023,211
2024,237
2025,263
2026,284
2027,303
2028,324
2029,347
2030,369
2031,403
2032,428
2033,453
2034,478
2035,503
2036,528
2037,553
2038,578
2039,603
2040,628
