year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,49638,720.5457524902115,0,12000,12000,0,5377.16,5377.16,31.0
2020,50294,817.4653810435254,0,12000,12000,0,3840.32,3840.32,32.1
2021,51025,987.1723048348204,0,12000,12000,0,2741.24,2741.24,33.4
2022,51908,1156.8792286261153,0,12000,12000,0,1642.17,1642.17,34.7
2023,52639,1326.5861524174102,0,12000,12000,0,821.08,821.08,36.6
2024,53446,1496.293076208705,0,12000,12000,0,0.0,0.0,37.5
2025,54228,1666.0,0,12000,12000,0,0.0,0.0,39.6
2026,54909,2443.4,0,12400,12400,0,0.0,0.0,39.6
2027,55716,3220.8,0,12800,12800,0,0.0,0.0,39.5
2028,56473,3998.2000000000003,0,13200,13200,0,0.0,0.0,39.4
2029,57230,4775.6,0,13600,13600,0,0.0,0.0,39.3
2030,57784,5553.0,0,14000,14000,0,0.0,0.0,39.2
