,County,Num Drivers
0,Alameda,49036
1,Alpine,27
2,Amador,921
3,Butte,3940
4,Calaveras,1096
5,Colusa,446
6,Contra Costa,36800
7,Del Norte,479
8,El Dorado,5718
9,Fresno,17977
10,Glenn,476
11,Humboldt,2329
12,Imperial,2731
13,Inyo,341
14,Kern,17254
15,Kings,2854
16,Lake,1022
17,Lassen,678
18,Los Angeles,226929
19,Madera,2961
20,Marin,9972
21,Mariposa,388
22,Mendocino,1532
23,Merced,4524
24,Modoc,150
25,Mono,335
26,Monterey,10018
27,Napa,3880
28,Nevada,2452
29,Orange,98145
30,Placer,12364
31,Plumas,381
32,Riverside,56185
33,Sacramento,36286
34,San Benito,1688
35,San Bernardino,47646
36,San Diego,87445
37,San Francisco,26271
38,San Joaquin,16483
39,San Luis Obispo,7078
40,San Mateo,27358
41,Santa Barbara,11389
42,Santa Clara,70352
43,Santa Cruz,7427
44,Shasta,3473
45,Sierra,57
46,Siskiyou,688
47,Solano,12666
48,Sonoma,12846
49,Stanislaus,11053
50,Sutter,2009
51,Tehama,1110
52,Trinity,188
53,Tulare,7841
54,Tuolumne,1145
55,Ventura,26464
56,Yolo,5123
57,Yuba,1544
