,County,Num Drivers
0,Alameda,980728
1,Alpine,555
2,Amador,18438
3,Butte,78810
4,Calaveras,21930
5,Colusa,8921
6,Contra Costa,736007
7,Del Norte,9599
8,El Dorado,114365
9,Fresno,359540
10,Glenn,9533
11,Humboldt,46589
12,Imperial,54638
13,Inyo,6836
14,Kern,345089
15,Kings,57080
16,Lake,20450
17,Lassen,13573
18,Los Angeles,4538586
19,Madera,59233
20,Marin,199453
21,Mariposa,7775
22,Mendocino,30650
23,Merced,90488
24,Modoc,3016
25,Mono,6708
26,Monterey,200375
27,Napa,77617
28,Nevada,49044
29,Orange,1962905
30,Placer,247294
31,Plumas,7638
32,Riverside,1123701
33,Sacramento,725730
34,San Benito,33760
35,San Bernardino,952935
36,San Diego,1748912
37,San Francisco,525422
38,San Joaquin,329674
39,San Luis Obispo,141567
40,San Mateo,547160
41,Santa Barbara,227790
42,Santa Clara,1407047
43,Santa Cruz,148548
44,Shasta,69470
45,Sierra,1141
46,Siskiyou,13769
47,Solano,253337
48,Sonoma,256923
49,Stanislaus,221065
50,Sutter,40194
51,Tehama,22214
52,Trinity,3763
53,Tulare,156824
54,Tuolumne,22915
55,Ventura,529288
56,Yolo,102478
57,Yuba,30880
