,County,Num Drivers
0,Alameda,73554
1,Alpine,41
2,Amador,1382
3,Butte,5910
4,Calaveras,1644
5,Colusa,669
6,Contra Costa,55200
7,Del Norte,719
8,El Dorado,8577
9,Fresno,26965
10,Glenn,715
11,Humboldt,3494
12,Imperial,4097
13,Inyo,512
14,Kern,25881
15,Kings,4281
16,Lake,1533
17,Lassen,1018
18,Los Angeles,340393
19,Madera,4442
20,Marin,14959
21,Mariposa,583
22,Mendocino,2298
23,Merced,6786
24,Modoc,226
25,Mono,503
26,Monterey,15028
27,Napa,5821
28,Nevada,3678
29,Orange,147217
30,Placer,18547
31,Plumas,572
32,Riverside,84277
33,Sacramento,54429
34,San Benito,2532
35,San Bernardino,71470
36,San Diego,131168
37,San Francisco,39406
38,San Joaquin,24725
39,San Luis Obispo,10617
40,San Mateo,41037
41,Santa Barbara,17084
42,Santa Clara,105528
43,Santa Cruz,11141
44,Shasta,5210
45,Sierra,85
46,Siskiyou,1032
47,Solano,19000
48,Sonoma,19269
49,Stanislaus,16579
50,Sutter,3014
51,Tehama,1666
52,Trinity,282
53,Tulare,11761
54,Tuolumne,1718
55,Ventura,39696
56,Yolo,7685
57,Yuba,2316
