,County,Num Drivers
0,Alameda,63203
1,Alpine,41
2,Amador,1493
3,Butte,8769
4,Calaveras,1729
5,Colusa,820
6,Contra Costa,43616
7,Del Norte,1055
8,El Dorado,7230
9,Fresno,37707
10,Glenn,1063
11,Humboldt,5171
12,Imperial,6894
13,Inyo,682
14,Kern,34005
15,Kings,5739
16,Lake,2441
17,Lassen,1168
18,Los Angeles,383200
19,Madera,5978
20,Marin,9846
21,Mariposa,662
22,Mendocino,3322
23,Merced,10419
24,Modoc,332
25,Mono,540
26,Monterey,16517
27,Napa,5286
28,Nevada,3780
29,Orange,120811
30,Placer,14908
31,Plumas,713
32,Riverside,92932
33,Sacramento,58433
34,San Benito,2333
35,San Bernardino,82347
36,San Diego,126780
37,San Francisco,33494
38,San Joaquin,28540
39,San Luis Obispo,10769
40,San Mateo,29181
41,Santa Barbara,16932
42,Santa Clara,73472
43,Santa Cruz,10399
44,Shasta,6827
45,Sierra,113
46,Siskiyou,1658
47,Solano,16935
48,Sonoma,18957
49,Stanislaus,20848
50,Sutter,3670
51,Tehama,2423
52,Trinity,475
53,Tulare,17665
54,Tuolumne,2068
55,Ventura,32268
56,Yolo,8357
57,Yuba,2959
