,County,Num Drivers
0,Alameda,210677
1,Alpine,139
2,Amador,4978
3,Butte,29230
4,Calaveras,5764
5,Colusa,2733
6,Contra Costa,145386
7,Del Norte,3517
8,El Dorado,24101
9,Fresno,125691
10,Glenn,3545
11,Humboldt,17237
12,Imperial,22982
13,Inyo,2273
14,Kern,113350
15,Kings,19132
16,Lake,8137
17,Lassen,3893
18,Los Angeles,1277334
19,Madera,19929
20,Marin,32821
21,Mariposa,2208
22,Mendocino,11073
23,Merced,34730
24,Modoc,1109
25,Mono,1801
26,Monterey,55058
27,Napa,17622
28,Nevada,12601
29,Orange,402705
30,Placer,49693
31,Plumas,2376
32,Riverside,309775
33,Sacramento,194778
34,San Benito,7778
35,San Bernardino,274490
36,San Diego,422600
37,San Francisco,111649
38,San Joaquin,95136
39,San Luis Obispo,35898
40,San Mateo,97270
41,Santa Barbara,56440
42,Santa Clara,244908
43,Santa Cruz,34665
44,Shasta,22757
45,Sierra,377
46,Siskiyou,5526
47,Solano,56451
48,Sonoma,63192
49,Stanislaus,69496
50,Sutter,12236
51,Tehama,8078
52,Trinity,1584
53,Tulare,58884
54,Tuolumne,6893
55,Ventura,107562
56,Yolo,27859
57,Yuba,9864
