year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,338289,6499.616787768847,0,12000,12000,0,5377.16,5377.16,31.0
2020,342756,7373.871396351801,0,12000,12000,0,3840.32,3840.32,32.1
2021,347739,8904.697117081441,0,12000,12000,0,2741.24,2741.24,33.4
2022,353758,10435.52283781108,0,12000,12000,0,1642.17,1642.17,34.7
2023,358743,11966.34855854072,0,12000,12000,0,821.08,821.08,36.6
2024,364243,13497.174279270359,0,12000,12000,0,0.0,0.0,37.5
2025,369571,15028.0,0,12000,12000,0,0.0,0.0,39.6
2026,374211,22041.0,0,12400,12400,0,0.0,0.0,39.6
2027,379711,29054.0,0,12800,12800,0,0.0,0.0,39.5
2028,384867,36067.0,0,13200,13200,0,0.0,0.0,39.4
2029,390026,43080.0,0,13600,13600,0,0.0,0.0,39.3
2030,393805,50093.0,0,14000,14000,0,0.0,0.0,39.2
