Year, Ports
2011,0
2012,0
2013,0
2014,1
2015,2
2016,4
2017,9
2018,18
2019,25
2020,33
2021,41
2022,49
2023,58
2024,65
2025,72
2026,78
2027,83
2028,89
2029,95
2030,101
2031,110
2032,117
2033,124
2034,131
2035,137
2036,144
2037,151
2038,158
2039,165
2040,172
