year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,17,12149,9833,0.0,0.0,11.899999999999999,1.7000000000000002,1.7000000000000002,1.7000000000000002,9833,3244.8900000000003,4916.5,7374.75
2012,48,12318,9833,0.0,0.0,33.599999999999994,4.800000000000001,4.800000000000001,4.800000000000001,9833,3244.8900000000003,4916.5,7374.75
2013,97,12489,9833,0.0,0.0,67.89999999999999,9.700000000000001,9.700000000000001,9.700000000000001,9833,3244.8900000000003,4916.5,7374.75
2014,147,12663,9833,0.0,0.0,102.89999999999999,14.700000000000001,14.700000000000001,14.700000000000001,9833,3244.8900000000003,4916.5,7374.75
2015,155,12839,9833,0.0,0.0,108.5,15.5,15.5,15.5,9833,3244.8900000000003,4916.5,7374.75
2016,182,13017,9833,15603.57,0.0,127.39999999999999,18.2,18.2,18.2,9833,3244.8900000000003,4916.5,7374.75
2017,238,13198,9833,11258.79,0.0,166.6,23.8,23.8,23.8,9833,3244.8900000000003,4916.5,7374.75
2018,386,13382,9833,6914.0,29.9,270.2,38.6,38.6,38.6,9833,3244.8900000000003,4916.5,7374.75
2019,394,13568,9833,5377.16,31.0,275.79999999999995,39.400000000000006,39.400000000000006,39.400000000000006,9833,3244.8900000000003,4916.5,7374.75
2020,520,13747,9833,3840.32,32.1,364.0,52.0,52.0,52.0,9833,3244.8900000000003,4916.5,7374.75
2021,647,13947,9833,2741.24,33.4,452.9,64.7,64.7,64.7,9833,3244.8900000000003,4916.5,7374.75
2022,773,14189,9833,1642.17,34.7,541.0999999999999,77.30000000000001,77.30000000000001,77.30000000000001,9833,3244.8900000000003,4916.5,7374.75
2023,907,14389,9833,821.08,36.6,634.9,90.7,90.7,90.7,9833,3244.8900000000003,4916.5,7374.75
2024,1019,14609,9833,0.0,37.5,713.3,101.9,101.9,101.9,9833,3244.8900000000003,4916.5,7374.75
2025,1130,14823,9833,0.0,39.6,791.0,113.0,113.0,113.0,9833,3244.8900000000003,4916.5,7374.75
2026,1219,15009,9833,0.0,39.6,853.3,121.9,121.9,121.9,9833,3244.8900000000003,4916.5,7374.75
2027,1301,15230,9833,0.0,39.5,910.6999999999999,130.1,130.1,130.1,9833,3244.8900000000003,4916.5,7374.75
2028,1390,15436,9833,0.0,39.4,972.9999999999999,139.0,139.0,139.0,9833,3244.8900000000003,4916.5,7374.75
2029,1487,15643,9833,0.0,39.3,1040.8999999999999,148.70000000000002,148.70000000000002,148.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2030,1584,15795,9833,0.0,39.2,1108.8,158.4,158.4,158.4,9833,3244.8900000000003,4916.5,7374.75
2031,1728,16015,9833,0.0,39.1,1209.6,172.8,172.8,172.8,9833,3244.8900000000003,4916.5,7374.75
2032,1836,16237,9833,0.0,39.0,1285.1999999999998,183.60000000000002,183.60000000000002,183.60000000000002,9833,3244.8900000000003,4916.5,7374.75
2033,1943,16463,9833,0.0,39.0,1360.1,194.3,194.3,194.3,9833,3244.8900000000003,4916.5,7374.75
2034,2050,16692,9833,0.0,38.9,1435.0,205.0,205.0,205.0,9833,3244.8900000000003,4916.5,7374.75
2035,2157,16925,9833,0.0,38.8,1509.8999999999999,215.70000000000002,215.70000000000002,215.70000000000002,9833,3244.8900000000003,4916.5,7374.75
2036,2265,17160,9833,0.0,38.7,1585.5,226.5,226.5,226.5,9833,3244.8900000000003,4916.5,7374.75
2037,2372,17399,9833,0.0,38.6,1660.3999999999999,237.20000000000002,237.20000000000002,237.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2038,2479,17641,9833,0.0,38.6,1735.3,247.9,247.9,247.9,9833,3244.8900000000003,4916.5,7374.75
2039,2586,17886,9833,0.0,38.5,1810.1999999999998,258.6,258.6,258.6,9833,3244.8900000000003,4916.5,7374.75
2040,2694,18135,9833,0.0,38.4,1885.8,269.40000000000003,269.40000000000003,269.40000000000003,9833,3244.8900000000003,4916.5,7374.75
