Year, Ports
2011,1
2012,6
2013,11
2014,22
2015,55
2016,110
2017,220
2018,440
2019,628
2020,827
2021,1027
2022,1228
2023,1441
2024,1618
2025,1795
2026,1937
2027,2067
2028,2208
2029,2362
2030,2515
2031,2745
2032,2915
2033,3086
2034,3256
2035,3427
2036,3597
2037,3767
2038,3938
2039,4108
2040,4278
