Year, Ports
2011,4
2012,19
2013,39
2014,78
2015,195
2016,390
2017,779
2018,1558
2019,2220
2020,2924
2021,3635
2022,4345
2023,5097
2024,5724
2025,6350
2026,6852
2027,7311
2028,7813
2029,8356
2030,8899
2031,9711
2032,10314
2033,10916
2034,11519
2035,12122
2036,12724
2037,13327
2038,13930
2039,14533
2040,15135
