year, total_population, BEV_population, PHEV_population, vehicle_miles_traveled, BEV_vmt, PHEV_vmt, bev_price, phev_price, new_vehicle_mpg
2019,361795,5086.637812147285,0,12000,12000,0,5377.16,5377.16,31.0
2020,366572,5770.834541688417,0,12000,12000,0,3840.32,3840.32,32.1
2021,371902,6968.867633350734,0,12000,12000,0,2741.24,2741.24,33.4
2022,378339,8166.900725013051,0,12000,12000,0,1642.17,1642.17,34.7
2023,383670,9364.933816675368,0,12000,12000,0,821.08,821.08,36.6
2024,389552,10562.966908337685,0,12000,12000,0,0.0,0.0,37.5
2025,395250,11761.0,0,12000,12000,0,0.0,0.0,39.6
2026,400213,17250.0,0,12400,12400,0,0.0,0.0,39.6
2027,406095,22739.0,0,12800,12800,0,0.0,0.0,39.5
2028,411609,28228.0,0,13200,13200,0,0.0,0.0,39.4
2029,417126,33717.0,0,13600,13600,0,0.0,0.0,39.3
2030,421168,39206.0,0,14000,14000,0,0.0,0.0,39.2
