Year,NPV
Utility Bills,701703339.9338841
Utility Bills (volumetric),598802830.9649378
Utility Bills (demand),79120534.33778417
Utility Bills (res),449868324.79887617
Utility Bills (work),63415560.618351236
Utility Bills (pub L2),81566632.30764897
Utility Bills (DCFC),106852822.2090077
Incremental upfront vehicle cost,27363794.200250745
Charging infrastructure cost,583324382.2213207
Charging infrastructure cost (res),155179052.49073488
Charging infrastructure cost (work L2),72554486.57432786
Charging infrastructure cost (public L2),162355808.63926566
Charging infrastructure cost (DCFC),193235034.5169924
Avoided vehicle gasoline,812616882.0095074
Vehicle O&M Savings,186580379.78259218
Federal EV Tax Credit,92077963.87972017
Total Energy Supply Cost,283362836.07303077
Energy Cost,242796285.1439256
Generation Capacity Cost,40566550.929105215
Vehicle Sales (NPV),70955.17968113135
Transmission and Distribution Cost,36965637.26137886
Distribution Cost,30920568.0847755
Transmission Cost,6045069.176603366
Emissions Savings from Avoided Gasoline ($),0.0
Emissions associated with EV adoption ($),0.0
Net emissions savings ($),0.0
