Year, Ports
2011,2
2012,10
2013,19
2014,38
2015,95
2016,190
2017,381
2018,761
2019,1085
2020,1428
2021,1775
2022,2122
2023,2490
2024,2796
2025,3102
2026,3347
2027,3571
2028,3816
2029,4081
2030,4346
2031,4743
2032,5037
2033,5332
2034,5626
2035,5921
2036,6215
2037,6509
2038,6804
2039,7098
2040,7393
