Load Profile, Charger Assignment
Yuba_Residential_L2,Residential L2
Yuba_Residential_MUD,Residential L2
Yuba_Public_L2,Public L2
Yuba_Workplace_L2,Workplace L2
Yuba_Public_DCFC,DCFC
