Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,3987176.150912599,4814369.816362482,5642131.177236758,6481690.072297719,7313322.344117289,8125934.436842561,11917603.648869304,15708643.974952392,19530471.638235725,23379094.667111352,30039035.847049605,29512268.324927513,28690528.02113402,27870000.390541323,27097920.104809996,26322743.70898551,25359163.157164164,21596763.96357121,17851115.46424372,14113743.67916856
Utility Bills (res),3378745.510308697,4080038.3748947014,4781559.234981934,5481694.970414712,6182945.513089916,6885947.916087595,10099436.090015244,13312618.822413001,16522977.98355521,19731948.217291936,25724612.178673554,25324398.55622892,24622374.18954229,23921596.454472948,23215510.408622272,22510225.14095148,21771663.43933019,18559828.087464176,15347079.335205337,12134740.096669924
Utility Bills (work),356799.6066359783,430627.7455655627,504583.5189764231,591576.5067704469,669625.989303224,727053.6580496784,1066138.408021162,1405080.6645212835,1776690.2824043063,2176315.7674243455,2666162.5869102585,2569178.345876048,2496287.564302932,2422344.7549568424,2399903.7856812477,2373932.961129807,2211886.443650196,1871086.9936763332,1537545.3140555962,1204196.2343080484
Utility Bills (pub L2),97179.63452970449,117293.6539014026,137475.80006195867,158204.4468084202,178562.45972390275,198078.61451032478,290425.95020345855,382713.48482542357,476528.81089928624,571501.4790932616,710430.8551827942,697108.7621400632,676867.4076054158,656945.9948207204,638978.1945967897,620745.8019018476,597471.8617097696,506950.5006158899,426697.22348292463,346684.10999854427
Utility Bills (DCFC),154451.39943821958,186410.04200081524,218512.62321644326,250214.14830413985,282188.3820002473,314854.24819496326,461603.2006294389,608231.0031926838,754274.5613769236,899329.2033018104,937830.2262829978,921582.6606824801,894998.859683383,869113.1862908107,843527.7159096849,817839.8050023755,778141.412474009,658898.3818148116,539793.5914998648,428123.2381920443
Incremental upfront vehicle cost,1916194.4065066788,2395008.365230845,1434756.1275667716,717373.6953071392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,2125527.1152054085,3725218.960600812,3728635.815359701,3732062.9206828675,3735500.3073220043,3738948.006121064,17145684.31126764,17161574.721179225,17177512.802320536,17193498.697705276,17877762.353049606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),1097728.2347082256,1923702.1999406382,1925279.5693437504,1926861.6708550719,1928448.5186709275,1930040.1270302348,8849715.766628742,8857051.473928627,8864409.188350413,8871788.975915464,9187674.967496969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),441678.53214691195,773828.646409511,774276.5414252089,774725.7801259545,775176.3665428031,775628.3047189028,3555586.9460797654,3557669.924695782,3559759.1522476478,3561854.6474821684,3651550.6697830902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),265007.11928814766,464297.1878457063,464565.9248551255,464835.46807557286,465105.8199256816,465376.9828313413,2133352.167647859,2134601.95481747,2135855.491348588,2137112.7884893017,2190930.401869856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),321113.22906212334,563390.9264049561,564513.7797356161,565640.001626268,566769.6021825919,567902.5915405853,2607029.4309112756,2612251.3677373435,2617488.9703738866,2622742.285818343,2847606.3138996903,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),4562511.7326878235,5812521.76922967,6918266.500523113,7972019.008348441,9946866.857640974,10902636.509163793,15470153.031461766,20277103.429439627,25434954.447434813,31196213.450966276,31492538.667191435,30626685.552748494,29626807.68633839,28601099.615007106,27667692.559113223,26780776.68072832,21905042.822142463,17075985.741212662,11822219.410606608,6398940.775022527
Avoided vehicle gasoline (gallons),1573279.9078233875,1887182.3926070356,2189324.841937694,2475782.300729329,2755364.780509965,3020120.9166658707,4273522.936867891,5570632.810285612,6911672.404194242,8296865.279512308,8331359.43576493,8017456.950981282,7715314.501650623,7428857.042858988,7149274.563078352,6884518.426922447,5631116.406720428,4334006.533302707,2992966.9393940778,1607774.0640760118
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
