Load Profile, Charger Assignment
Equity_Kern_Residential L1_e19controlled_load,Residential L1
Equity_Kern_Residential L2_e19controlled_load,Residential L2
Equity_Kern_Residential MUD_e19controlled_load,Residential L2
Equity_Kern_Public L2_e19controlled_load,Public L2
Equity_Kern_Work_e19controlled_load,Workplace L2
Equity_Kern_Fast_e19controlled_load,DCFC
