Year, Ports
2011,0
2012,0
2013,1
2014,2
2015,4
2016,8
2017,16
2018,31
2019,44
2020,58
2021,73
2022,87
2023,102
2024,114
2025,127
2026,137
2027,146
2028,156
2029,167
2030,178
2031,194
2032,206
2033,218
2034,230
2035,242
2036,254
2037,266
2038,278
2039,290
2040,303
