Load Profile, Charger Assignment
Lassen_Residential_L2,Residential L2
Lassen_Residential_MUD,Residential L2
Lassen_Public_L2,Public L2
Lassen_Workplace_L2,Workplace L2
Lassen_Public_DCFC,DCFC
