year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,134,96944,9833,0.0,0.0,93.8,13.4,13.4,13.4,9833,3244.8900000000003,4916.5,7374.75
2012,383,98293,9833,0.0,0.0,268.09999999999997,38.300000000000004,38.300000000000004,38.300000000000004,9833,3244.8900000000003,4916.5,7374.75
2013,772,99660,9833,0.0,0.0,540.4,77.2,77.2,77.2,9833,3244.8900000000003,4916.5,7374.75
2014,1175,101046,9833,0.0,0.0,822.5,117.5,117.5,117.5,9833,3244.8900000000003,4916.5,7374.75
2015,1236,102452,9833,15603.57,0.0,865.1999999999999,123.60000000000001,123.60000000000001,123.60000000000001,9833,3244.8900000000003,4916.5,7374.75
2016,1450,103877,9833,11258.79,0.0,1014.9999999999999,145.0,145.0,145.0,9833,3244.8900000000003,4916.5,7374.75
2017,1902,105323,9833,6914.0,29.9,1331.3999999999999,190.20000000000002,190.20000000000002,190.20000000000002,9833,3244.8900000000003,4916.5,7374.75
2018,3078,106788,9833,5377.16,31.0,2154.6,307.8,307.8,307.8,9833,3244.8900000000003,4916.5,7374.75
2019,3145,108273,9833,3840.32,32.1,2201.5,314.5,314.5,314.5,9833,3244.8900000000003,4916.5,7374.75
2020,4153,109703,9833,2741.24,33.4,2907.1,415.3,415.3,415.3,9833,3244.8900000000003,4916.5,7374.75
2021,5162,111298,9833,1642.17,34.7,3613.3999999999996,516.2,516.2,516.2,9833,3244.8900000000003,4916.5,7374.75
2022,6171,113224,9833,821.08,36.6,4319.7,617.1,617.1,617.1,9833,3244.8900000000003,4916.5,7374.75
2023,7239,114820,9833,0.0,37.5,5067.299999999999,723.9000000000001,723.9000000000001,723.9000000000001,9833,3244.8900000000003,4916.5,7374.75
2024,8129,116580,9833,0.0,39.6,5690.299999999999,812.9000000000001,812.9000000000001,812.9000000000001,9833,3244.8900000000003,4916.5,7374.75
2025,9019,118285,9833,0.0,39.6,6313.299999999999,901.9000000000001,901.9000000000001,901.9000000000001,9833,3244.8900000000003,4916.5,7374.75
2026,9731,119771,9833,0.0,39.5,6811.7,973.1,973.1,973.1,9833,3244.8900000000003,4916.5,7374.75
2027,10383,121531,9833,0.0,39.4,7268.099999999999,1038.3,1038.3,1038.3,9833,3244.8900000000003,4916.5,7374.75
2028,11096,123181,9833,0.0,39.3,7767.2,1109.6000000000001,1109.6000000000001,1109.6000000000001,9833,3244.8900000000003,4916.5,7374.75
2029,11867,124832,9833,0.0,39.2,8306.9,1186.7,1186.7,1186.7,9833,3244.8900000000003,4916.5,7374.75
2030,12638,126042,9833,0.0,39.1,8846.599999999999,1263.8000000000002,1263.8000000000002,1263.8000000000002,9833,3244.8900000000003,4916.5,7374.75
2031,13792,127795,9833,0.0,39.0,9654.4,1379.2,1379.2,1379.2,9833,3244.8900000000003,4916.5,7374.75
2032,14648,129573,9833,0.0,39.0,10253.599999999999,1464.8000000000002,1464.8000000000002,1464.8000000000002,9833,3244.8900000000003,4916.5,7374.75
2033,15504,131376,9833,0.0,38.9,10852.8,1550.4,1550.4,1550.4,9833,3244.8900000000003,4916.5,7374.75
2034,16360,133203,9833,0.0,38.8,11452.0,1636.0,1636.0,1636.0,9833,3244.8900000000003,4916.5,7374.75
2035,17216,135057,9833,0.0,38.7,12051.199999999999,1721.6000000000001,1721.6000000000001,1721.6000000000001,9833,3244.8900000000003,4916.5,7374.75
2036,18072,136935,9833,0.0,38.6,12650.4,1807.2,1807.2,1807.2,9833,3244.8900000000003,4916.5,7374.75
2037,18928,138840,9833,0.0,38.6,13249.599999999999,1892.8000000000002,1892.8000000000002,1892.8000000000002,9833,3244.8900000000003,4916.5,7374.75
2038,19784,140772,9833,0.0,38.5,13848.8,1978.4,1978.4,1978.4,9833,3244.8900000000003,4916.5,7374.75
2039,20640,142730,9833,0.0,38.4,14447.999999999998,2064.0,2064.0,2064.0,9833,3244.8900000000003,4916.5,7374.75
2040,21496,144716,9833,0.0,0.0,15047.199999999999,2149.6,2149.6,2149.6,9833,3244.8900000000003,4916.5,7374.75
