Year, Ports
2011,1
2012,3
2013,7
2014,14
2015,35
2016,69
2017,139
2018,278
2019,396
2020,521
2021,648
2022,775
2023,909
2024,1021
2025,1132
2026,1222
2027,1304
2028,1393
2029,1490
2030,1587
2031,1732
2032,1839
2033,1946
2034,2054
2035,2161
2036,2269
2037,2376
2038,2484
2039,2591
2040,2699
