Year, Ports
2011,2
2012,11
2013,22
2014,43
2015,108
2016,215
2017,430
2018,860
2019,1226
2020,1615
2021,2007
2022,2399
2023,2815
2024,3161
2025,3507
2026,3784
2027,4037
2028,4314
2029,4614
2030,4914
2031,5363
2032,5695
2033,6028
2034,6361
2035,6694
2036,7027
2037,7360
2038,7692
2039,8025
2040,8358
