Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,3936480.169228064,4753133.811238101,5570382.85303231,6400158.614548073,7221484.042767241,8022637.196176129,11766063.698454857,15508839.09089925,19284391.775288783,23088148.006732978,29638276.99848688,29113569.766861957,28301590.43667006,27491013.368519872,26732183.11906723,25969980.381187018,25010428.340001885,21292848.89706466,17592516.15216221,13900537.043377986
Utility Bills (res),3378745.510308697,4080038.3748947014,4781559.234981934,5481694.970414712,6182945.513089916,6885947.916087595,10099436.090015244,13312618.822413001,16522977.98355521,19731948.217291936,25724612.178673554,25324398.55622892,24622374.18954229,23921596.454472948,23215510.408622272,22510225.14095148,21771663.43933019,18559828.087464176,15347079.335205337,12134740.096669924
Utility Bills (work),306103.6249514427,369391.7404411816,432835.19477197446,510045.0490208008,577787.6879531749,623756.4173832465,914598.4576067167,1205275.7804681414,1530610.4194573616,1885369.1070459716,2265403.7383475355,2170479.7878104914,2107349.9798389724,2043357.7329353914,2034166.7999384806,2021169.633331315,1863151.6264879173,1567171.9271697826,1278946.0019740812,990989.5985174737
Utility Bills (pub L2),97179.63452970449,117293.6539014026,137475.80006195867,158204.4468084202,178562.45972390275,198078.61451032478,290425.95020345855,382713.48482542357,476528.81089928624,571501.4790932616,710430.8551827942,697108.7621400632,676867.4076054158,656945.9948207204,638978.1945967897,620745.8019018476,597471.8617097696,506950.5006158899,426697.22348292463,346684.10999854427
Utility Bills (DCFC),154451.39943821958,186410.04200081524,218512.62321644326,250214.14830413985,282188.3820002473,314854.24819496326,461603.2006294389,608231.0031926838,754274.5613769236,899329.2033018104,937830.2262829978,921582.6606824801,894998.859683383,869113.1862908107,843527.7159096849,817839.8050023755,778141.412474009,658898.3818148116,539793.5914998648,428123.2381920443
Incremental upfront vehicle cost,1916194.4065066788,2395008.365230845,1434756.1275667716,717373.6953071392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,2125527.1152054085,3725218.960600812,3728635.815359701,3732062.9206828675,3735500.3073220043,3738948.006121064,17145684.31126764,17161574.721179225,17177512.802320536,17193498.697705276,17877762.353049606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),1097728.2347082256,1923702.1999406382,1925279.5693437504,1926861.6708550719,1928448.5186709275,1930040.1270302348,8849715.766628742,8857051.473928627,8864409.188350413,8871788.975915464,9187674.967496969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),441678.53214691195,773828.646409511,774276.5414252089,774725.7801259545,775176.3665428031,775628.3047189028,3555586.9460797654,3557669.924695782,3559759.1522476478,3561854.6474821684,3651550.6697830902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),265007.11928814766,464297.1878457063,464565.9248551255,464835.46807557286,465105.8199256816,465376.9828313413,2133352.167647859,2134601.95481747,2135855.491348588,2137112.7884893017,2190930.401869856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),321113.22906212334,563390.9264049561,564513.7797356161,565640.001626268,566769.6021825919,567902.5915405853,2607029.4309112756,2612251.3677373435,2617488.9703738866,2622742.285818343,2847606.3138996903,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),4562511.7326878235,5812521.76922967,6918266.500523113,7972019.008348441,9946866.857640974,10902636.509163793,15470153.031461766,20277103.429439627,25434954.447434813,31196213.450966276,31492538.667191435,30626685.552748494,29626807.68633839,28601099.615007106,27667692.559113223,26780776.68072832,21905042.822142463,17075985.741212662,11822219.410606608,6398940.775022527
Avoided vehicle gasoline (gallons),1573279.9078233875,1887182.3926070356,2189324.841937694,2475782.300729329,2755364.780509965,3020120.9166658707,4273522.936867891,5570632.810285612,6911672.404194242,8296865.279512308,8331359.43576493,8017456.950981282,7715314.501650623,7428857.042858988,7149274.563078352,6884518.426922447,5631116.406720428,4334006.533302707,2992966.9393940778,1607774.0640760118
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,126238.74699144594,354923.88525950746,593610.0700578198,842626.6638267923,1102312.6804476916,1373017.050494619,2557180.853695228,3792783.323984225,5081514.627432749,6425114.401104201,8992052.31018133,8909049.498378526,8818042.409538273,8718719.028831834,8610757.486848094,8493825.777007114,7246195.9144140575,5939559.326190835,4571923.569263213,3141237.0923169004
Federal EV Tax Credit,3742255.3455962236,6411657.896143497,6273637.863154107,6138588.907195799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,498.9673794128298,873.6952493144872,873.6952493144872,873.6952493144872,873.6952493144872,873.695249314489,4002.7999999999993,4002.7999999999993,4002.7999999999993,4002.7999999999993,4501.767379412833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,77171.52651714752,107596.1727491869,120868.09767800938,134745.33750372846,149249.48184607452,187871.24874818078,443101.6346921264,574934.7537895389,679719.9964278169,789414.615549132,1010010.146152053,803694.8158452729,800483.1163485438,796630.4984632588,792107.4209671891,786883.27648077,780926.3594376487,681516.7646347177,576759.10998401,466450.6207443258
Distribution Cost,52799.48097879344,77475.75530922941,84743.6296465228,92352.32210772585,100314.33132935442,132111.00397481417,359404.9200711279,462024.6745811031,536275.1963043846,614067.8945498399,775375.0107461009,567295.9995122822,565230.8862000314,562707.9571653125,559705.6128119745,556201.4583136595,552172.2807124244,481757.57556425995,407477.02796558157,329181.35453315446
Transmission Cost,24372.04553835408,30120.417439957488,36124.468031486584,42393.0153960026,48935.150516720096,55760.244773366605,83696.71462099851,112910.07920843583,143444.8001234323,175346.72099929216,234635.13540595205,236398.81633299065,235252.23014851243,233922.54129794636,232401.8081552146,230681.8181671105,228754.0787252242,199759.1890704578,169282.08201842837,137269.26621117134
