Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,12582933.60038792,15193384.351584785,17805600.78408015,20457134.883799706,23082017.050174095,25644322.112062,37609591.5459631,49573061.84202206,61638688.820639774,73791056.57601,94261116.22683135,92583061.01847406,89970084.35691755,87360943.42734596,84908842.87490213,82447018.10855526,79383862.30083412,67415886.26525126,55492176.20151956,43593081.09399885
Utility Bills (res),10750741.584905325,12982102.934997614,15214182.804050116,17445032.105358392,19677013.2287587,21910313.915045727,32134596.445761397,42358079.504365355,52580437.33019428,62802668.406605214,80528831.10025187,79252042.0405834,77022727.96103995,74797093.76217291,72559204.61450982,70323732.9047026,67972332.58743794,57771076.885999456,47586250.58081105,37418420.1183073
Utility Bills (work),1123699.999955564,1356221.204698436,1589140.2007199535,1862167.975857433,2107689.6166680157,2289776.5084721493,3357653.196209079,4425085.783188602,5592989.060521403,6847122.374466858,8476203.294839855,8165201.032494972,7931592.2458435185,7694721.359712663,7623924.058863206,7542206.751658893,7020799.57206935,5928739.328187734,4860143.426214856,3792249.7398552843
Utility Bills (pub L2),313930.72788800613,378898.17322422453,444109.7479204141,509972.7178706582,575406.9950808709,639900.0769964864,938191.2616651554,1236271.0022230241,1536570.3913404634,1838212.827122105,2293744.1893087584,2251573.5875362493,2185292.967791689,2120055.2279774076,2060222.85983445,1999843.495120149,1925232.0279047862,1625363.2254995895,1326387.992990381,1028118.0257730728
Utility Bills (DCFC),394561.2876390257,476162.0386645105,558168.0313896668,639962.0847132239,721907.2096665064,804331.611547638,1179150.6423274681,1553625.5522450802,1928692.0385836265,2303052.967815823,2962337.6424308643,2914244.357859438,2830471.182242398,2749073.077482977,2665491.341694652,2581234.957073618,2465498.1134220376,2090706.8255644883,1719394.2015032626,1354293.2100631916
Incremental upfront vehicle cost,6024272.143109777,7529602.49136642,4510691.264992191,2255331.8985609217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,6551628.5322706755,11482341.832571117,11492769.070675747,11503227.590494692,11513717.485873092,11524238.850937618,52844948.63270488,52893440.36251086,52942077.56750625,52990860.684116624,55079031.42563497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),3451118.3221297986,6047875.693295948,6052834.742608636,6057808.669069261,6062797.517309269,6067801.3320939895,27821730.590400744,27844792.582171947,27867923.75991846,27891124.331198215,28884229.271988057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),1400096.7933466586,2452994.4916529665,2454414.294359217,2455838.3564735875,2457266.690774301,2458699.310077914,11270751.569373142,11277354.342659662,11283976.924266025,11290619.37361722,11574950.702793125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),764311.1442535769,1339086.7229125865,1339861.7914908354,1340639.18527482,1341418.911240154,1342200.9763833839,6152689.635117606,6156294.081060086,6159909.340340398,6163535.445398548,6318751.573727882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (DCFC),936102.2725406407,1642384.9247096158,1645658.2422170585,1648941.3796770242,1652234.3665493692,1655537.2323823296,7599776.837813387,7614999.356619167,7630267.5429813685,7645581.533902642,8301099.877125905,0,0,0,0,0,0,0,0,0
Avoided vehicle gasoline ($),14343958.128941024,18273831.11895512,21750152.2894492,25063016.50461884,31271687.631606497,34276506.17577261,48635863.83523151,63747955.78424776,79963213.32926348,98075473.41768038,99006675.67323908,96284523.51629347,93141024.44000423,89916323.4258687,86981800.14596163,84193439.23069601,68865110.34180711,53683524.53337309,37166737.53980296,20117038.136700746
Avoided vehicle gasoline (gallons),4946192.458255526,5933062.051608805,6882959.585268734,7783545.498328831,8662517.349475484,9494877.057000723,13435321.501445169,17513174.666002132,21729134.056865074,26083902.50470223,26192242.24159764,25205372.648244362,24255475.114584435,23354889.20152434,22475917.350377683,21643557.642852444,17703113.198407996,13625260.033851037,9409300.642988091,5054532.195150941
Carbon Emissions Savings From Avoided Gasoline ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbon Emission Costs Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Carbon Emission Savings Associated with EV Adoption ($),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle O&M Savings,396878.60704492684,1115835.672848621,1866234.7603018675,2649111.343137399,3465531.237993707,4316591.438333613,8039367.051326292,11923855.561034495,15975370.511517016,20199380.973729234,28269407.222575247,28008446.690247525,27722321.50140166,27410050.716048494,27070622.412533112,26702992.79911649,22780697.256270178,18672896.461023856,14373326.573314661,9875537.928659126
Federal EV Tax Credit,11765176.098169768,20157439.101027112,19723521.62527115,19298944.838817168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vehicle sales,1568.6901464226357,2746.7870348332945,2746.7870348332945,2746.7870348332945,2746.7870348332945,2746.787034833291,12584.0,12584.0,12584.0,12584.0,14152.690146422636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Transmission and Distribution Cost,233933.513976601,324750.49344658153,365662.00270812266,408439.3785190127,453149.1683725362,662656.8297106901,1599484.7199582164,2265158.8942751414,2731072.0281758313,3218935.777368828,4070890.091533022,3478029.7460052883,3461906.827154383,3442871.74393421,3420790.4970229864,3395524.239760412,3366929.1279171286,2922436.412471747,2453955.611240767,1960572.832335427
Distribution Cost,158729.3128900082,231808.68737777544,254193.65042373177,277628.32905309566,302151.2189450964,490598.86051560985,1341227.0682270674,1916761.6268392927,2288458.0231047557,2677886.4595126696,3370236.9207928423,2772480.925164285,2760455.2814047374,2746095.5557603007,2729292.5604160116,2709933.1033529034,2687899.8665480535,2333499.7080087955,1959699.6045509037,1565751.0582490456
Transmission Cost,75204.20108659282,92941.80606880608,111468.35228439089,130811.04946591708,150997.94942743977,172057.96919508028,258257.65173114912,348397.26743584883,442614.0050710757,541049.3178561587,700653.17074018,705548.8208410033,701451.5457496459,696776.1881739093,691497.936606975,685591.1364075087,679029.261369075,588936.7044629517,494256.0066898634,394821.7740863813
Cumulative personal light-duty EV population,13231.064825833531,15977.851860666826,18724.63889550012,21471.425930333415,24218.21296516671,26965.0,39549.0,52133.0,64717.0,77301.0,89885.0,87138.2129651667,84391.42593033341,81644.63889550012,78897.85186066682,76151.06482583353,63567.06482583353,50983.06482583353,38399.06482583353,25815.064825833528
