Year, Ports
2011,6
2012,31
2013,62
2014,124
2015,310
2016,620
2017,1239
2018,2478
2019,3531
2020,4651
2021,5781
2022,6910
2023,8106
2024,9103
2025,10099
2026,10897
2027,11628
2028,12425
2029,13289
2030,14153
2031,15444
2032,16403
2033,17361
2034,18320
2035,19278
2036,20237
2037,21195
2038,22154
2039,23113
2040,24071
