Timestep,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,2.3671707025729004e-08,2.5549776529821536e-08,2.6435126534453688e-08,2.568494038590531e-08,2.522518222100872e-08,2.276899747777388e-08,1.9147836814187873e-08,1.8410192764296115e-08,1.808538913038744e-08,1.7870440698751246e-08,1.7258084149320922e-08,1.7214614197588234e-08,1.7695062341665563e-08,1.7993248075429512e-08,1.806166794608256e-08,1.8120652561938994e-08,1.8189737823294963e-08,1.823284812548684e-08,1.826918893174388e-08,1.8305755044489446e-08,1.834761831198466e-08,0,0,0,0,0,0,0,0,0,0
1,2.262107878793081e-08,2.4415793388576684e-08,2.526184864719874e-08,2.4544958228037928e-08,2.4105605643105352e-08,2.1758434459631435e-08,1.8297992819926232e-08,1.7593087839820093e-08,1.7282700059789306e-08,1.7077291746730186e-08,1.6492113595618705e-08,1.64505729833602e-08,1.6909697258127358e-08,1.7194648527994804e-08,1.7260031699686663e-08,1.7316398384231802e-08,1.738241741439805e-08,1.7423614339545608e-08,1.7458342221259584e-08,1.7493285409618875e-08,1.7533290647572357e-08,0,0,0,0,0,0,0,0,0,0
2,2.1269931997692205e-08,2.2957449108121525e-08,2.3752969869349868e-08,2.3078898990224365e-08,2.2665788736193866e-08,2.0458813024404678e-08,1.7205061996501344e-08,1.6542260671584356e-08,1.6250412213070865e-08,1.60572728455152e-08,1.5507047120324884e-08,1.5467987710021592e-08,1.589968869980805e-08,1.616761995938926e-08,1.6229097823849967e-08,1.6282097751857385e-08,1.6344173495253798e-08,1.638290974672162e-08,1.6415563347790113e-08,1.644841939533552e-08,1.6486035138545616e-08,0,0,0,0,0,0,0,0,0,0
3,2.0395344174630667e-08,2.2013473102899857e-08,2.277628323906187e-08,2.21299291473162e-08,2.1733805369678582e-08,1.9617577201583133e-08,1.6497615554322243e-08,1.586206762955455e-08,1.5582219543586812e-08,1.5397021778243895e-08,1.4869420512748088e-08,1.4831967167035458e-08,1.5245917257152287e-08,1.5502831583671715e-08,1.556178157020357e-08,1.5612602220361697e-08,1.5672125501940743e-08,1.570926897662637e-08,1.5740579910408644e-08,1.577208496637117e-08,1.5808154006424412e-08,0,0,0,0,0,0,0,0,0,0
4,2.039155507594157e-08,2.2009383384120788e-08,2.2772051803483992e-08,2.2125817793038286e-08,2.1729767608279203e-08,1.9613932598411877e-08,1.649455058552668e-08,1.585912073446188e-08,1.557932463938025e-08,1.5394161280547153e-08,1.486665803415052e-08,1.4829211646615303e-08,1.5243084832036123e-08,1.549995142836139e-08,1.5558890463015458e-08,1.5609701671584504e-08,1.566921389477757e-08,1.570635046885441e-08,1.573765558561211e-08,1.576915478848556e-08,1.5805217127541203e-08,0,0,0,0,0,0,0,0,0,0
5,2.1249723471350343e-08,2.2935637274633123e-08,2.3730402212934498e-08,2.3056971767408816e-08,2.264425400873052e-08,2.0439375140824603e-08,1.7188715496258288e-08,1.6526543897756767e-08,1.6234972723969112e-08,1.6042016857799217e-08,1.549231390113786e-08,1.54532916011141e-08,1.5884582432521826e-08,1.615225913106741e-08,1.621367858551329e-08,1.6266628158378932e-08,1.6328644923716748e-08,1.6367344371937703e-08,1.639996694887517e-08,1.6432791779945488e-08,1.647037178450171e-08,0,0,0,0,0,0,0,0,0,0
6,2.240118614862206e-08,2.4178454873496863e-08,2.5016285885805843e-08,2.4306364140767168e-08,2.38712823689286e-08,2.154692732394573e-08,1.8120123586856152e-08,1.7422070774057798e-08,1.7114700179405306e-08,1.6911288578197035e-08,1.6331798766236846e-08,1.6290661957658684e-08,1.6745323224737494e-08,1.7027504569819594e-08,1.7092252171549274e-08,1.7148070932666448e-08,1.7213448211883327e-08,1.7254244674228606e-08,1.7288634976747565e-08,1.7323238492981294e-08,1.7362854852161925e-08,0,0,0,0,0,0,0,0,0,0
7,2.1978174224457877e-08,2.3721881964745603e-08,2.4543891827839988e-08,2.3847375862360586e-08,2.3420509940176284e-08,2.114004676294969e-08,1.7777952940457578e-08,1.709308178069986e-08,1.6791515406672697e-08,1.6591944920495277e-08,1.6023397881777757e-08,1.598303787851854e-08,1.6429113567309016e-08,1.670596635197674e-08,1.6769491294896708e-08,1.6824256004617317e-08,1.688839873453423e-08,1.6928424818475384e-08,1.696216571305921e-08,1.6996115795144962e-08,1.70349840603535e-08,0,0,0,0,0,0,0,0,0,0
8,1.9359705777800317e-08,2.0895669068912868e-08,2.1619745096950163e-08,2.1006211687691082e-08,2.063020235335515e-08,1.8621432393788453e-08,1.5659896711339704e-08,1.5056620751598915e-08,1.479098284127845e-08,1.4615189080847347e-08,1.4114378445805495e-08,1.4078826912711355e-08,1.4471757371875858e-08,1.4715626057244976e-08,1.4771582670925535e-08,1.4819822741113797e-08,1.487632353896417e-08,1.491158093571717e-08,1.4941301957361263e-08,1.4971207244015182e-08,1.5005444763967752e-08,0,0,0,0,0,0,0,0,0,0
9,1.6463994670649634e-08,1.7770217592084126e-08,1.8385990579730525e-08,0.0,0.0,1.583614788416636e-08,1.3317581318517084e-08,1.2804539834307503e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
