year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,1485,1071521,9833,0.0,0.0,1039.5,148.5,148.5,148.5,9833,3244.8900000000003,4916.5,7374.75
2012,4229,1086427,9833,0.0,0.0,2960.2999999999997,422.90000000000003,422.90000000000003,422.90000000000003,9833,3244.8900000000003,4916.5,7374.75
2013,8530,1101541,9833,0.0,0.0,5971.0,853.0,853.0,853.0,9833,3244.8900000000003,4916.5,7374.75
2014,12986,1116866,9833,0.0,0.0,9090.199999999999,1298.6000000000001,1298.6000000000001,1298.6000000000001,9833,3244.8900000000003,4916.5,7374.75
2015,13662,1132403,9833,15603.57,0.0,9563.4,1366.2,1366.2,1366.2,9833,3244.8900000000003,4916.5,7374.75
2016,16025,1148157,9833,11258.79,0.0,11217.5,1602.5,1602.5,1602.5,9833,3244.8900000000003,4916.5,7374.75
2017,21025,1164129,9833,6914.0,29.9,14717.499999999998,2102.5,2102.5,2102.5,9833,3244.8900000000003,4916.5,7374.75
2018,34022,1180324,9833,5377.16,31.0,23815.399999999998,3402.2000000000003,3402.2000000000003,3402.2000000000003,9833,3244.8900000000003,4916.5,7374.75
2019,34759,1196744,9833,3840.32,32.1,24331.3,3475.9,3475.9,3475.9,9833,3244.8900000000003,4916.5,7374.75
2020,45907,1212547,9833,2741.24,33.4,32134.899999999998,4590.7,4590.7,4590.7,9833,3244.8900000000003,4916.5,7374.75
2021,57056,1230177,9833,1642.17,34.7,39939.2,5705.6,5705.6,5705.6,9833,3244.8900000000003,4916.5,7374.75
2022,68205,1251469,9833,821.08,36.6,47743.5,6820.5,6820.5,6820.5,9833,3244.8900000000003,4916.5,7374.75
2023,80010,1269104,9833,0.0,37.5,56007.0,8001.0,8001.0,8001.0,9833,3244.8900000000003,4916.5,7374.75
2024,89847,1288560,9833,0.0,39.6,62892.899999999994,8984.7,8984.7,8984.7,9833,3244.8900000000003,4916.5,7374.75
2025,99685,1307409,9833,0.0,39.6,69779.5,9968.5,9968.5,9968.5,9833,3244.8900000000003,4916.5,7374.75
2026,107555,1323825,9833,0.0,39.5,75288.5,10755.5,10755.5,10755.5,9833,3244.8900000000003,4916.5,7374.75
2027,114769,1343281,9833,0.0,39.4,80338.29999999999,11476.900000000001,11476.900000000001,11476.900000000001,9833,3244.8900000000003,4916.5,7374.75
2028,122639,1361522,9833,0.0,39.3,85847.29999999999,12263.900000000001,12263.900000000001,12263.900000000001,9833,3244.8900000000003,4916.5,7374.75
2029,131164,1379770,9833,0.0,39.2,91814.79999999999,13116.400000000001,13116.400000000001,13116.400000000001,9833,3244.8900000000003,4916.5,7374.75
2030,139690,1393141,9833,0.0,39.1,97783.0,13969.0,13969.0,13969.0,9833,3244.8900000000003,4916.5,7374.75
2031,152439,1412521,9833,0.0,39.0,106707.29999999999,15243.900000000001,15243.900000000001,15243.900000000001,9833,3244.8900000000003,4916.5,7374.75
2032,161900,1432172,9833,0.0,39.0,113330.0,16190.0,16190.0,16190.0,9833,3244.8900000000003,4916.5,7374.75
2033,171361,1452096,9833,0.0,38.9,119952.7,17136.100000000002,17136.100000000002,17136.100000000002,9833,3244.8900000000003,4916.5,7374.75
2034,180822,1472297,9833,0.0,38.8,126575.4,18082.2,18082.2,18082.2,9833,3244.8900000000003,4916.5,7374.75
2035,190284,1492779,9833,0.0,38.7,133198.8,19028.4,19028.4,19028.4,9833,3244.8900000000003,4916.5,7374.75
2036,199745,1513546,9833,0.0,38.6,139821.5,19974.5,19974.5,19974.5,9833,3244.8900000000003,4916.5,7374.75
2037,209206,1534602,9833,0.0,38.6,146444.19999999998,20920.600000000002,20920.600000000002,20920.600000000002,9833,3244.8900000000003,4916.5,7374.75
2038,218667,1555950,9833,0.0,38.5,153066.9,21866.7,21866.7,21866.7,9833,3244.8900000000003,4916.5,7374.75
2039,228129,1577596,9833,0.0,38.4,159690.3,22812.9,22812.9,22812.9,9833,3244.8900000000003,4916.5,7374.75
2040,237590,1599543,9833,0.0,0.0,166313.0,23759.0,23759.0,23759.0,9833,3244.8900000000003,4916.5,7374.75
