year, ldv_population, total_population, vehicle_miles_traveled, ldv_price, new_vehicle_mpg,BEV100_population,PHEV10_population,PHEV20_population,PHEV40_population,BEV100_vmt,PHEV10_vmt,PHEV20_vmt,PHEV40_vmt
2011,131,94827,9833,0.0,0.0,91.69999999999999,13.100000000000001,13.100000000000001,13.100000000000001,9833,3244.8900000000003,4916.5,7374.75
2012,374,96147,9833,0.0,0.0,261.8,37.4,37.4,37.4,9833,3244.8900000000003,4916.5,7374.75
2013,755,97484,9833,0.0,0.0,528.5,75.5,75.5,75.5,9833,3244.8900000000003,4916.5,7374.75
2014,1149,98840,9833,0.0,0.0,804.3,114.9,114.9,114.9,9833,3244.8900000000003,4916.5,7374.75
2015,1209,100215,9833,0.0,0.0,846.3,120.9,120.9,120.9,9833,3244.8900000000003,4916.5,7374.75
2016,1418,101609,9833,15603.57,0.0,992.5999999999999,141.8,141.8,141.8,9833,3244.8900000000003,4916.5,7374.75
2017,1861,103023,9833,11258.79,0.0,1302.6999999999998,186.10000000000002,186.10000000000002,186.10000000000002,9833,3244.8900000000003,4916.5,7374.75
2018,3011,104456,9833,6914.0,29.9,2107.7,301.1,301.1,301.1,9833,3244.8900000000003,4916.5,7374.75
2019,3076,105909,9833,5377.16,31.0,2153.2,307.6,307.6,307.6,9833,3244.8900000000003,4916.5,7374.75
2020,4063,107308,9833,3840.32,32.1,2844.1,406.3,406.3,406.3,9833,3244.8900000000003,4916.5,7374.75
2021,5049,108868,9833,2741.24,33.4,3534.2999999999997,504.90000000000003,504.90000000000003,504.90000000000003,9833,3244.8900000000003,4916.5,7374.75
2022,6036,110752,9833,1642.17,34.7,4225.2,603.6,603.6,603.6,9833,3244.8900000000003,4916.5,7374.75
2023,7081,112313,9833,821.08,36.6,4956.7,708.1,708.1,708.1,9833,3244.8900000000003,4916.5,7374.75
2024,7951,114035,9833,0.0,37.5,5565.7,795.1,795.1,795.1,9833,3244.8900000000003,4916.5,7374.75
2025,8822,115703,9833,0.0,39.6,6175.4,882.2,882.2,882.2,9833,3244.8900000000003,4916.5,7374.75
2026,9518,117156,9833,0.0,39.6,6662.599999999999,951.8000000000001,951.8000000000001,951.8000000000001,9833,3244.8900000000003,4916.5,7374.75
2027,10157,118878,9833,0.0,39.5,7109.9,1015.7,1015.7,1015.7,9833,3244.8900000000003,4916.5,7374.75
2028,10853,120492,9833,0.0,39.4,7597.099999999999,1085.3,1085.3,1085.3,9833,3244.8900000000003,4916.5,7374.75
2029,11608,122107,9833,0.0,39.3,8125.599999999999,1160.8,1160.8,1160.8,9833,3244.8900000000003,4916.5,7374.75
2030,12362,123290,9833,0.0,39.2,8653.4,1236.2,1236.2,1236.2,9833,3244.8900000000003,4916.5,7374.75
2031,13490,125005,9833,0.0,39.1,9443.0,1349.0,1349.0,1349.0,9833,3244.8900000000003,4916.5,7374.75
2032,14328,126744,9833,0.0,39.0,10029.599999999999,1432.8000000000002,1432.8000000000002,1432.8000000000002,9833,3244.8900000000003,4916.5,7374.75
2033,15165,128507,9833,0.0,39.0,10615.5,1516.5,1516.5,1516.5,9833,3244.8900000000003,4916.5,7374.75
2034,16002,130295,9833,0.0,38.9,11201.4,1600.2,1600.2,1600.2,9833,3244.8900000000003,4916.5,7374.75
2035,16840,132108,9833,0.0,38.8,11788.0,1684.0,1684.0,1684.0,9833,3244.8900000000003,4916.5,7374.75
2036,17677,133946,9833,0.0,38.7,12373.9,1767.7,1767.7,1767.7,9833,3244.8900000000003,4916.5,7374.75
2037,18514,135809,9833,0.0,38.6,12959.8,1851.4,1851.4,1851.4,9833,3244.8900000000003,4916.5,7374.75
2038,19352,137698,9833,0.0,38.6,13546.4,1935.2,1935.2,1935.2,9833,3244.8900000000003,4916.5,7374.75
2039,20189,139614,9833,0.0,38.5,14132.3,2018.9,2018.9,2018.9,9833,3244.8900000000003,4916.5,7374.75
2040,21026,141556,9833,0.0,38.4,14718.199999999999,2102.6,2102.6,2102.6,9833,3244.8900000000003,4916.5,7374.75
