Year, Ports
2011,0
2012,2
2013,5
2014,10
2015,24
2016,48
2017,96
2018,193
2019,275
2020,362
2021,450
2022,538
2023,631
2024,708
2025,786
2026,848
2027,905
2028,967
2029,1034
2030,1101
2031,1202
2032,1276
2033,1351
2034,1425
2035,1500
2036,1575
2037,1649
2038,1724
2039,1798
2040,1873
