Load Profile, Charger Assignment
El Dorado_Residential_L2,Residential L2
El Dorado_Residential_MUD,Residential L2
El Dorado_Public_L2,Public L2
El Dorado_Workplace_L2,Workplace L2
El Dorado_Public_DCFC,DCFC
